integrantes,vinculacion,horas_dedicacion,url,grupo,inicio_vinculacion,fin_vinculacion,posgrade,clasification,articulos,capitulos,libros,softwares,innovaciones,trabajos_dirigidos
JESUS ORLANDO RANGEL CHURIO,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000064467,0,1989-01-01, Actual,Doctorado,Investigador Emérito (IE),55,285,34,0,0,87
JUAN EMIRO CARVAJAL COGOLLO,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000468371,0,2008-01-01, Actual,Doctorado,Investigador Asociado (I),27,52,12,0,0,45
ALEXIS JARAMILLO JUSTINICO,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000676195,0,2010-08-01, Actual,Doctorado,Sin clasificar,3,8,1,0,0,17
ANA MARIA BRICENO JIMENEZ,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000003077,0,2011-02-01, Actual,Doctorado,Investigador Junior (IJ),2,0,0,0,0,0
ANDRES FELIPE APONTE GUTIERREZ,Integrante,0; 4; 8; 30; 0; 4; 8; 30; 0; 4; 8; 30; 0; 4; 8; 30,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001388474,0; 245; 611; 702,2017-02-01; 2010-07-01; 2016-01-01; 2010-01-01, Actual,Maestría/Magister,Sin clasificar,0; 3; 3; 2,2; 0; 0; 1,0; 0; 0; 0,0; 0; 0; 0,0; 0; 0; 0,0; 0; 0; 0
ANDRES VERA OSPINA,Integrante,0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001487038,0,2015-02-01, Actual,Maestría/Magister,Sin clasificar,0,3,0,0,0,0
AZARYS DE JESUS PATERNINA HERNANDEZ,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001376957,0,2011-08-01, Actual,Maestría/Magister,Sin clasificar,0,4,1,0,0,0
CARLOS HERNAN GANTIVA QUINTERO,Integrante,0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001490989,0,2016-02-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,0
DENISSE VIVIANA CORTES CASTILLO,Integrante,35; 4; 35; 4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001352871,0; 622,2009-07-01; 2018-01-01, Actual,Doctorado,Sin clasificar,2; 0,2; 0,2; 1,0; 0,0; 0,2; 4
DIEGO ANDRES PEREZ ROJAS,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000035752,0,2018-07-01, Actual,Pregrado/Universitario,Sin clasificar,1,0,0,0,0,0
DIEGO FELIPE HIGUERA ROJAS,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000018502,0,2017-10-01, Actual,Pregrado/Universitario,Sin clasificar,2,12,0,0,0,0
EDGAR ANDRES AVELLA MUNOZ,Integrante,20; 4; 20; 4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000911992,0; 159,2010-04-01; 2006-10-01, Actual,Doctorado,Investigador Junior (IJ),3; 3,13; 5,2; 1,0; 0,0; 0,0; 1
IRINA TATIANA MORALES CASTANO,Integrante,0; 20; 0; 20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000384402,0; 208,2018-03-01; 2006-02-01, Actual,Doctorado,Investigador Junior (IJ),2; 29,1; 6,1; 2,0; 0,0; 0,1; 16
JAIME AGUIRRE CEBALLOS,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000064459,0,1994-06-01, Actual,Doctorado,Sin clasificar,9,9,6,0,0,1
